Time,Type,Price,Quantity
2023-06-03 04:15:00,open_long,1908.43,0.03447
2023-06-03 06:15:00,close_long,1904.89,0.03447
2023-06-03 07:45:00,open_long,1905.4,0.03444
2023-06-03 10:00:00,close_long,1899.39,0.03444
2023-06-03 11:15:00,open_long,1900.45,0.03442
2023-06-03 11:30:00,close_long,1898.41,0.03442
2023-06-03 12:15:00,open_long,1898.02,0.03441
2023-06-03 12:30:00,close_long,1898.6,0.03441
2023-06-03 14:15:00,open_long,1902.25,0.03431
2023-06-03 17:30:00,close_long,1901.99,0.03431
2023-06-03 19:45:00,open_long,1901.88,0.03429
2023-06-03 22:15:00,close_long,1901.69,0.03429
2023-06-03 22:45:00,open_long,1900.43,0.03429
2023-06-03 23:15:00,close_long,1896.42,0.03429
2023-06-04 00:45:00,open_long,1900.19,0.03421
2023-06-04 02:45:00,close_long,1892.01,0.03421
2023-06-04 07:15:00,open_long,1889.26,0.03426
2023-06-04 09:45:00,close_long,1889.62,0.03426
2023-06-04 12:15:00,open_long,1893.98,0.03416
2023-06-04 14:30:00,close_long,1891.99,0.03416
2023-06-04 16:30:00,open_long,1899.0,0.03402
2023-06-04 17:30:00,close_long,1903.87,0.03402
2023-06-04 17:45:00,open_long,1905.38,0.03395
2023-06-04 18:00:00,close_long,1904.77,0.03395
2023-06-04 18:15:00,open_long,1903.07,0.03396
2023-06-04 20:45:00,close_long,1903.53,0.03396
2023-06-04 22:00:00,open_long,1906.44,0.03388
2023-06-04 23:30:00,close_long,1904.0,0.03388
2023-06-05 00:00:00,open_long,1900.96,0.03392
2023-06-05 01:15:00,close_long,1898.25,0.03392
2023-06-05 04:30:00,open_long,1904.24,0.0338
2023-06-05 07:00:00,close_long,1900.66,0.0338
2023-06-05 07:15:00,open_long,1901.78,0.03377
2023-06-05 08:30:00,close_long,1889.94,0.03377
2023-06-05 11:00:00,open_long,1874.32,0.03406
2023-06-05 13:15:00,close_long,1863.39,0.03406
2023-06-05 16:15:00,open_long,1871.71,0.03391
2023-06-05 19:15:00,close_long,1866.07,0.03391
2023-06-05 20:45:00,open_long,1863.18,0.03396
2023-06-05 21:30:00,close_long,1866.0,0.03396
2023-06-05 22:45:00,open_long,1868.09,0.03389
2023-06-06 00:45:00,close_long,1811.01,0.03389
2023-06-06 02:45:00,open_long,1804.97,0.03414
2023-06-06 03:45:00,close_long,1803.51,0.03414
2023-06-06 05:30:00,open_long,1800.0,0.03419
2023-06-06 05:45:00,close_long,1798.9,0.03419
2023-06-06 07:45:00,open_long,1813.48,0.03389
2023-06-06 10:15:00,close_long,1805.95,0.03389
2023-06-06 11:45:00,open_long,1810.89,0.0338
2023-06-06 12:45:00,close_long,1813.01,0.0338
2023-06-06 13:15:00,open_long,1816.48,0.0337
2023-06-06 16:00:00,close_long,1812.26,0.0337
2023-06-06 17:45:00,open_long,1815.96,0.03362
2023-06-06 20:30:00,close_long,1806.73,0.03362
2023-06-06 21:00:00,open_long,1804.62,0.03367
2023-06-06 21:15:00,close_long,1800.43,0.03367
2023-06-07 00:00:00,open_long,1841.38,0.03291
2023-06-07 00:30:00,close_long,1844.54,0.03291
2023-06-07 00:45:00,open_long,1846.95,0.03283
2023-06-07 06:00:00,close_long,1879.0,0.03283
2023-06-07 08:00:00,open_long,1883.26,0.03265
